UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
210502,PUNO,EL COLLAO,CAPAZO,-5.241691795555321,-7.490872859954834,-3.204629898071289,1.046237853891723,37,-6.473969459533691,-3.8835837841033936
230406,TACNA,TARATA,SUSAPAYA,-5.057249589399858,-8.782925605773926,2.722630739212036,3.3799652655074537,11,-8.49563217163086,-0.7737599015235901
210504,PUNO,EL COLLAO,SANTA ROSA,-4.926243521950462,-8.722503662109375,-2.4671812057495117,1.5751383245965513,88,-7.305088043212891,-3.139373302459717
230401,TACNA,TARATA,TARATA,-4.893150329589844,-6.755064010620117,5.42961311340332,2.8784826673730497,28,-6.548187255859375,-3.6295764446258545
230408,TACNA,TARATA,TICACO,-4.309867858886719,-6.3028645515441895,2.1761868000030518,2.738579776086265,11,-6.163755893707275,0.49603426456451416
040514,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,-4.249320690448467,-5.922765254974365,-2.714177131652832,0.6863871331350829,52,-5.131732940673828,-3.4052071571350098
230201,TACNA,CANDARAVE,CANDARAVE,-4.202588288680367,-8.273414611816406,6.974405288696289,3.6657816236210303,46,-6.802698135375977,1.5447320938110352
210707,PUNO,LAMPA,PARATIA,-4.107042165902945,-4.76434326171875,-2.8631317615509033,0.5211149632311001,26,-4.724353790283203,-3.356672763824463
080802,CUSCO,ESPINAR,CONDOROMA,-4.002339680989583,-4.944066047668457,-1.5798507928848267,0.7502017338670295,18,-4.542454719543457,-3.234743595123291
210405,PUNO,CHUCUITO,PISACOMA,-3.4189818411162407,-5.608085632324219,-0.8295196890830994,1.4146513611417688,33,-4.88680362701416,-1.4255212545394897
180102,MOQUEGUA,MARISCAL NIETO,CARUMAS,-3.2874041207229037,-6.549747943878174,12.256598472595215,4.643760948541287,79,-5.968062400817871,3.9269776344299316
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,-3.1893239974975587,-5.134901523590088,-0.8480169177055359,0.9409489239603042,80,-4.518263339996338,-2.048508405685425
210302,PUNO,CARABAYA,AJOYANI,-3.177404550405649,-4.06450891494751,-1.7142256498336792,0.7200280908645195,13,-3.9154274463653564,-1.9961920976638794
210305,PUNO,CARABAYA,CORANI,-3.1132830995501894,-5.897321701049805,-0.18697933852672577,1.504893524574864,33,-4.853567123413086,-1.154718279838562
040518,AREQUIPA,CAYLLOMA,TUTI,-3.0433943612234935,-3.9687747955322266,-2.139396905899048,0.5117007048974418,7,-3.612306833267212,-2.5692503452301025
210709,PUNO,LAMPA,SANTA LUCIA,-3.009910300925926,-4.93802547454834,3.6138572692871094,1.5722569348898332,54,-4.440402030944824,-1.5243616104125977
080605,CUSCO,CANCHIS,PITUMARCA,-2.881023195054796,-6.198119640350342,1.7308778762817383,1.8271331701717954,36,-4.849804401397705,-0.04248721897602081
210301,PUNO,CARABAYA,MACUSANI,-2.8506491876417592,-4.337687015533447,-0.5378269553184509,0.9254211056321753,31,-3.9386489391326904,-1.4943675994873047
040504,AREQUIPA,CAYLLOMA,CALLALLI,-2.7980731083796573,-4.778946876525879,-0.3238440454006195,1.0237222333074127,52,-4.287042140960693,-1.4157023429870605
210705,PUNO,LAMPA,OCUVIRI,-2.791131083170573,-4.284221172332764,-0.6113542914390564,0.9850096501200849,30,-3.9232065677642822,-1.4073610305786133
211002,PUNO,SAN ANTONIO DE PUTINA,ANANEA,-2.7011775970458984,-4.567575931549072,-1.2846219539642334,0.8119362363468156,32,-3.6677916049957275,-1.6766408681869507
210111,PUNO,PUNO,PICHACANI,-2.603247625177557,-5.07988977432251,-0.03848540782928467,1.4157329843182078,55,-4.534737586975098,-1.019649624824524
210113,PUNO,PUNO,SAN ANTONIO,-2.551189716045673,-3.305495023727417,-0.7525918483734131,0.729016755590718,13,-3.265413761138916,-1.5913033485412598
210710,PUNO,LAMPA,VILAVILA,-2.527856636047363,-3.431772232055664,-1.3709648847579956,0.7007981593384928,5,-3.2506020069122314,-1.7155661582946777
210505,PUNO,EL COLLAO,CONDURIRI,-2.5120487919560186,-3.824033498764038,-0.7394071221351624,0.8167178765630917,27,-3.602064371109009,-1.5058419704437256
040505,AREQUIPA,CAYLLOMA,CAYLLOMA,-2.4725345043425864,-4.01392126083374,-1.33133065700531,0.571639793512533,47,-3.240861415863037,-1.742784023284912
080602,CUSCO,CANCHIS,CHECACUPE,-2.4569775811557113,-4.632948398590088,5.015519618988037,2.339466365594101,29,-4.224954605102539,0.6333803534507751
210706,PUNO,LAMPA,PALCA,-2.439443826675415,-4.597593307495117,-0.514472484588623,1.3479173255721362,16,-4.220674991607666,-0.7142375707626343
040519,AREQUIPA,CAYLLOMA,YANQUE,-2.40021782952386,-4.177734375,3.457105875015259,1.7818738119253106,37,-3.761258125305176,0.9093814492225647
210806,PUNO,MELGAR,NUÑOA,-2.2785742910284745,-4.832971096038818,0.8224129676818848,1.5726588268711563,76,-4.25812292098999,0.1007716953754425
210602,PUNO,HUANCANE,COJATA,-2.268990071614583,-3.2641208171844482,-1.2249516248703003,0.508628176823863,30,-2.952298164367676,-1.7282233238220215
210306,PUNO,CARABAYA,CRUCERO,-2.196294657389323,-2.985555410385132,-1.0922269821166992,0.49047243127531714,30,-2.8593623638153076,-1.4865357875823975
040517,AREQUIPA,CAYLLOMA,TISCO,-2.196007080078125,-3.4868106842041016,-0.03259750083088875,0.8455142038119822,50,-3.226367712020874,-0.904805600643158
210802,PUNO,MELGAR,ANTAUTA,-2.1934467951456704,-3.7937612533569336,0.6522292494773865,1.2112583705459419,24,-3.576686143875122,-0.33976778388023376
230107,TACNA,TACNA,PALCA,-2.182932439840065,-6.804277420043945,9.781514167785645,4.346090023538424,53,-6.155893325805664,4.186587810516357
040515,AREQUIPA,CAYLLOMA,SIBAYO,-2.173812519420277,-3.4786336421966553,0.009104331023991108,0.9534856450009479,11,-3.2852375507354736,-1.0418490171432495
230203,TACNA,CANDARAVE,CAMILACA,-2.060214042663574,-5.643286228179932,3.149968147277832,2.846036745073993,14,-5.28725004196167,1.9947271347045898
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,-1.9712894439697266,-5.420029163360596,6.128320693969727,3.3787780136982417,30,-4.888683319091797,3.8178200721740723
210403,PUNO,CHUCUITO,HUACULLANI,-1.961628141857329,-3.467987298965454,-0.7483335137367249,0.8123899879895682,21,-3.171941041946411,-1.0428661108016968
040510,AREQUIPA,CAYLLOMA,LARI,-1.8159533909388952,-3.2814748287200928,3.495913505554199,2.070993598281332,14,-3.159566879272461,1.4917514324188232
210209,PUNO,AZANGARO,POTONI,-1.6930674677309783,-3.0175302028656006,-0.8597682118415833,0.5501535844113405,23,-2.4317827224731445,-0.9904677867889404
210808,PUNO,MELGAR,SANTA ROSA,-1.6716598510742187,-4.258737087249756,-0.7408197522163391,0.9056916791891693,25,-2.810384750366211,-0.8441029191017151
211103,PUNO,SAN ROMAN,CABANILLAS,-1.475028083437965,-3.1558520793914795,2.226698875427246,1.0504412245581174,42,-2.419839859008789,-0.2275397628545761
080804,CUSCO,ESPINAR,OCORURO,-1.46481652693315,-3.310681104660034,-0.7067057490348816,0.8936606670832743,11,-3.100630521774292,-0.7131433486938477
080805,CUSCO,ESPINAR,PALLPATA,-1.3466285179401267,-1.7883719205856323,-0.6745308041572571,0.26220061482173296,29,-1.650972843170166,-1.0289332866668701
210404,PUNO,CHUCUITO,KELLUYO,-1.3376143960391773,-2.591508150100708,-0.6748826503753662,0.49439923875066843,17,-2.0322866439819336,-0.8639301657676697
180210,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,-1.3153236389160157,-4.4771552085876465,4.771594524383545,2.1442913175782037,30,-3.685469627380371,1.8720556497573853
210809,PUNO,MELGAR,UMACHIRI,-1.3034053215613732,-1.9766744375228882,-0.29361528158187866,0.5064855781246671,13,-1.8797565698623657,-0.9056298136711121
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,-1.293733172946506,-3.656160593032837,3.1575124263763428,2.432610154525536,9,-3.576420545578003,2.7655608654022217
211001,PUNO,SAN ANTONIO DE PUTINA,PUTINA,-1.2747397703282974,-3.3413846492767334,1.4265742301940918,1.6132519095125366,34,-3.1496732234954834,0.7162851691246033
040516,AREQUIPA,CAYLLOMA,TAPAY,-1.235002597173055,-3.028142213821411,5.354667663574219,2.2900495126971157,12,-2.888091802597046,1.1148524284362793
040512,AREQUIPA,CAYLLOMA,MACA,-1.2321255207061768,-2.8768112659454346,2.3401472568511963,1.689433507669678,8,-2.5928335189819336,1.1892515420913696
040404,AREQUIPA,CASTILLA,CHACHAS,-1.2084132869069169,-3.2312872409820557,7.598747730255127,2.0303344812298025,41,-2.563784599304199,0.27299559116363525
080606,CUSCO,CANCHIS,SAN PABLO,-1.1695340474446614,-4.862165927886963,3.3642330169677734,2.272291362815351,21,-3.828700065612793,2.853060722351074
080808,CUSCO,ESPINAR,ALTO PICHIGUA,-1.1349316914876302,-1.6991982460021973,-0.20926861464977264,0.3329884929594617,15,-1.4506117105484009,-0.8782705664634705
210805,PUNO,MELGAR,MACARI,-1.0825059413909912,-2.016819477081299,0.11495262384414673,0.6407981773114572,24,-1.8720252513885498,-0.15996769070625305
210102,PUNO,PUNO,ACORA,-1.0206973913944128,-5.336929798126221,5.164783954620361,2.395268530721505,66,-3.8503904342651367,2.682793617248535
210801,PUNO,MELGAR,AYAVIRI,-0.971174076625279,-3.2890684604644775,0.20496314764022827,0.82951239958499,35,-2.33788800239563,-0.2500247359275818
040509,AREQUIPA,CAYLLOMA,ICHUPAMPA,-0.9560748736063639,-2.891927480697632,1.5654481649398804,1.8662452147366382,3,-2.6218910217285156,0.9440093040466309
040603,AREQUIPA,CONDESUYOS,CAYARANI,-0.9490332096181018,-2.859440803527832,2.001581907272339,1.0601685724060523,47,-1.8314263820648193,0.5105479955673218
211202,PUNO,SANDIA,CUYOCUYO,-0.9131128523084853,-2.375075101852417,1.9994572401046753,1.4242471310847251,18,-2.084468364715576,1.928654670715332
210903,PUNO,MOHO,HUAYRAPATA,-0.8884690358088567,-2.456862688064575,0.3893762528896332,0.8752009601803882,13,-1.8924124240875244,0.26603636145591736
090411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,-0.8872115395285867,-1.3797963857650757,0.0961381271481514,0.4143321681508637,22,-1.3644449710845947,-0.24979916214942932
210804,PUNO,MELGAR,LLALLI,-0.8536616961161295,-1.3949884176254272,0.20954211056232452,0.5340250424272892,6,-1.3486356735229492,-0.2295948714017868
040502,AREQUIPA,CAYLLOMA,ACHOMA,-0.8374516413762019,-2.953810691833496,3.5323140621185303,1.9140981605040825,13,-2.4655959606170654,1.9285025596618652
210208,PUNO,AZANGARO,MUÑANI,-0.8349891945167824,-3.4250576496124268,2.1858887672424316,1.9765487235285015,27,-3.03462553024292,1.6921916007995605
180204,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-0.7935993075370789,-4.730346202850342,3.27481746673584,2.1577503528368616,32,-3.646790027618408,1.6708890199661255
040409,AREQUIPA,CASTILLA,ORCOPAMPA,-0.787993223770805,-2.50067400932312,1.951691746711731,1.3405529691884164,23,-2.1759033203125,1.4540942907333374
040806,AREQUIPA,LA UNION,PUYCA,-0.7842183907826742,-2.547424554824829,4.897943019866943,1.605099727540076,48,-2.223721742630005,1.5751299858093262
210211,PUNO,AZANGARO,SAN ANTON,-0.7289699105655446,-2.547774076461792,1.5103282928466797,1.1861024499458332,17,-2.15744686126709,0.9413015246391296
210803,PUNO,MELGAR,CUPI,-0.7184882958730062,-1.9215456247329712,0.13884173333644867,0.7817881820413118,6,-1.7164939641952515,0.03867575526237488
211004,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,-0.7109978795051575,-2.3949058055877686,0.9060847163200378,1.0708225850503308,16,-2.139723300933838,0.7558104991912842
080807,CUSCO,ESPINAR,SUYCKUTAMBO,-0.6853163582938058,-2.247377872467041,1.1110106706619263,0.8769056049383208,21,-1.6188443899154663,0.7582487463951111
120108,JUNIN,HUANCAYO,CHONGOS ALTO,-0.6161967982416567,-1.5573997497558594,1.4243316650390625,0.6842654486665526,23,-1.244579553604126,0.14914587140083313
211003,PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,-0.6133840084075928,-2.455305576324463,0.5658402442932129,0.9841503679781949,6,-1.7776503562927246,0.2955057621002197
080601,CUSCO,CANCHIS,SICUANI,-0.5779051303863525,-3.443110227584839,2.3369274139404297,1.9969404098728294,20,-3.0353426933288574,2.2097864151000977
210114,PUNO,PUNO,TIQUILLACA,-0.573723736931296,-3.166168451309204,4.068212032318115,1.894428175428136,17,-2.7466559410095215,1.2162327766418457
090118,HUANCAVELICA,HUANCAVELICA,ASCENSION,-0.5656027793884277,-1.467192530632019,1.6573185920715332,0.9044375617414904,14,-1.4318183660507202,0.743157684803009
080801,CUSCO,ESPINAR,ESPINAR,-0.5555152478425399,-1.7455068826675415,1.0034809112548828,0.6551625289919135,23,-1.2752987146377563,0.3815512955188751
