UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,count,mean,min,max,std,percentile_10,percentile_90,cold_flag
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,107,18.932154004818926,8.903979301452637,22.604116439819336,3.4302189255341466,13.836891174316406,22.35898780822754,0
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,57,22.2906494140625,19.775056838989258,22.8608341217041,0.4644261116864623,21.992694854736328,22.67619514465332,0
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,6,22.056365966796875,21.953405380249023,22.1419677734375,0.07664935607432745,21.955791473388672,22.137794494628906,0
250302,UCAYALI,PADRE ABAD,IRAZOLA,62,22.263211158014112,21.661476135253906,22.481042861938477,0.158931604004597,22.042722702026367,22.416751861572266,0
250304,UCAYALI,PADRE ABAD,NESHUYA,22,22.17306795987216,21.97576332092285,22.385101318359375,0.11829869717920143,22.023387908935547,22.36199188232422,0
250301,UCAYALI,PADRE ABAD,PADRE ABAD,154,20.235752650669642,14.998992919921875,22.47966194152832,2.109068685083184,16.871551513671875,22.294580459594727,0
250303,UCAYALI,PADRE ABAD,CURIMANA,62,22.249251827116936,21.982255935668945,22.410303115844727,0.11208086836857835,22.061904907226562,22.369665145874023,0
100901,HUANUCO,PUERTO INCA,PUERTO INCA,78,21.793824807191505,16.05077362060547,22.56388282775879,1.3076122823663334,20.465368270874023,22.52064323425293,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,69,22.307864866394926,21.799970626831055,22.591445922851562,0.15469150346341212,22.116945266723633,22.443323135375977,0
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,41,22.190316549161587,21.85382080078125,22.428863525390625,0.13549867494912335,22.021650314331055,22.364042282104492,0
160601,LORETO,UCAYALI,CONTAMANA,365,21.431627247431507,14.655349731445312,22.538833618164062,1.6855124511170483,18.610811233520508,22.421253204345703,0
130104,LA LIBERTAD,TRUJILLO,HUANCHACO,9,18.73708258734809,17.10750961303711,19.506893157958984,0.6241402314801907,18.2762393951416,19.12140464782715,0
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,4,19.587247848510742,19.42814826965332,19.77030372619629,0.13711883907266786,19.445369720458984,19.73870849609375,0
130110,LA LIBERTAD,TRUJILLO,SIMBAL,11,16.92261574485085,15.272915840148926,18.357351303100586,0.9753268230903022,15.633650779724121,18.19170379638672,0
130204,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,6,19.17557144165039,18.87656593322754,19.443635940551758,0.17271891279553384,18.985017776489258,19.354961395263672,0
130203,LA LIBERTAD,ASCOPE,CHOCOPE,3,19.09709930419922,18.977807998657227,19.29369354248047,0.14006564964299167,18.9862060546875,19.238914489746094,0
130205,LA LIBERTAD,ASCOPE,PAIJAN,2,19.012773513793945,18.984575271606445,19.040971755981445,0.0281982421875,18.990215301513672,19.03533172607422,0
130613,LA LIBERTAD,OTUZCO,SINSICAP,14,13.706743512834821,6.326693058013916,18.598541259765625,4.013075768370489,7.720869064331055,18.24512481689453,0
130202,LA LIBERTAD,ASCOPE,CHICAMA,32,18.79445457458496,16.976831436157227,19.696882247924805,0.5135012793756029,18.31011390686035,19.346345901489258,0
130206,LA LIBERTAD,ASCOPE,RAZURI,11,18.73148692737926,18.48534393310547,18.971818923950195,0.1470732119038241,18.578121185302734,18.96256446838379,0
131103,LA LIBERTAD,GRAN CHIMU,MARMOT,10,14.844308471679687,8.1094331741333,18.6962947845459,3.4484566410199857,10.76154899597168,18.457990646362305,0
130201,LA LIBERTAD,ASCOPE,ASCOPE,8,18.6398983001709,17.88642120361328,18.914888381958008,0.3107939849349478,18.319290161132812,18.89178466796875,0
131101,LA LIBERTAD,GRAN CHIMU,CASCAS,16,14.617731094360352,7.836397647857666,18.763877868652344,3.512718138236333,9.943556785583496,18.52656364440918,0
130208,LA LIBERTAD,ASCOPE,CASA GRANDE,24,18.442920684814453,17.184633255004883,18.892566680908203,0.4530815062459474,17.676986694335938,18.862951278686523,0
060505,CAJAMARCA,CONTUMAZA,SAN BENITO,16,16.37067413330078,12.365195274353027,19.000547409057617,2.2149697276908027,13.459888458251953,18.74921417236328,0
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,21,18.691999162946427,18.15445899963379,19.137203216552734,0.2182110950090024,18.42080307006836,18.95631980895996,0
060503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,9,15.45179918077257,13.15707015991211,17.97780418395996,1.351666944489432,13.740379333496094,16.709854125976562,0
230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,5,15.341046142578126,14.424530029296875,16.218727111816406,0.5971058057315165,14.662859916687012,15.959315299987793,0
230108,TACNA,TACNA,POCOLLAY,9,12.68552737765842,10.771907806396484,14.362339973449707,0.905075432957921,12.081984519958496,13.720682144165039,0
230103,TACNA,TACNA,CALANA,4,12.358563423156738,12.052837371826172,12.783802032470703,0.2742278284137882,12.097107887268066,12.667824745178223,0
230101,TACNA,TACNA,TACNA,64,12.86590576171875,1.3784559965133667,16.869035720825195,3.608909483245757,6.629684925079346,15.804182052612305,0
230109,TACNA,TACNA,SAMA,39,15.560895870893429,14.577242851257324,16.69417381286621,0.4396280190175217,14.930978775024414,16.033321380615234,0
230104,TACNA,TACNA,CIUDAD NUEVA,7,12.208268301827568,10.846534729003906,13.134621620178223,0.6758375519867071,11.376749038696289,12.785126686096191,0
230303,TACNA,JORGE BASADRE,ITE,29,15.797449572332974,13.29807186126709,17.807443618774414,1.0269167151903524,14.634456634521484,17.01405906677246,0
180301,MOQUEGUA,ILO,ILO,10,16.03612365722656,14.261405944824219,18.044506072998047,1.2581453634725244,14.613170623779297,17.835634231567383,0
230102,TACNA,TACNA,ALTO DE LA ALIANZA,15,12.252097574869792,4.1671977043151855,14.14025592803955,2.6166037722658935,9.494601249694824,13.680419921875,0
230106,TACNA,TACNA,PACHIA,19,8.92983687551398,-0.2467183619737625,13.244239807128906,4.223845393839907,3.027726650238037,12.954277992248535,0
230404,TACNA,TARATA,ESTIQUE-PAMPA,4,5.908520698547363,4.557925701141357,7.441840648651123,1.1606281484265428,4.70366907119751,7.186461925506592,0
230403,TACNA,TARATA,ESTIQUE,10,4.567502975463867,-2.6727778911590576,11.237761497497559,4.311734940433821,-2.0608932971954346,10.135998725891113,0
230407,TACNA,TARATA,TARUCACHI,4,0.8508812785148621,-3.589359998703003,4.894228458404541,3.023056231962804,-2.3339672088623047,3.8769712448120117,0
230105,TACNA,TACNA,INCLAN,46,13.049600352411685,5.578086853027344,14.687787055969238,1.725630569665323,11.132437705993652,14.344123840332031,0
230301,TACNA,JORGE BASADRE,LOCUMBA,28,13.904954092843193,12.860061645507812,15.291328430175781,0.5499167036358856,13.233819007873535,14.588272094726562,0
180302,MOQUEGUA,ILO,EL ALGARROBAL,23,14.400735606317935,11.760368347167969,17.442903518676758,1.3402585598575651,13.219947814941406,16.3912296295166,0
230107,TACNA,TACNA,PALCA,53,-2.182932439840065,-6.804277420043945,9.781514167785645,4.346090023538424,-6.155893325805664,4.186587810516357,1
230402,TACNA,TARATA,HEROES ALBARRACIN,14,8.936822073800224,5.462281703948975,12.472661018371582,1.6849233056606996,7.1926960945129395,10.85518741607666,0
230204,TACNA,CANDARAVE,CURIBAYA,3,8.365617116292318,7.365907192230225,10.243922233581543,1.3290825451231634,7.390130043029785,9.69254207611084,0
230405,TACNA,TARATA,SITAJARA,9,5.819691975911458,-0.35393401980400085,8.085664749145508,2.367508793905143,3.8237388134002686,7.605879306793213,0
230206,TACNA,CANDARAVE,QUILAHUANI,1,4.97804594039917,4.97804594039917,4.97804594039917,0.0,4.97804594039917,4.97804594039917,0
180303,MOQUEGUA,ILO,PACOCHA,13,16.14964059682993,14.45582103729248,17.327272415161133,0.8385159032723184,14.922599792480469,17.188072204589844,0
230401,TACNA,TARATA,TARATA,28,-4.893150329589844,-6.755064010620117,5.42961311340332,2.8784826673730497,-6.548187255859375,-3.6295764446258545,1
230205,TACNA,CANDARAVE,HUANUARA,3,4.2271773020426435,2.7555673122406006,5.407151699066162,1.1019719778089996,3.1082162857055664,5.229483604431152,0
230408,TACNA,TARATA,TICACO,11,-4.309867858886719,-6.3028645515441895,2.1761868000030518,2.738579776086265,-6.163755893707275,0.49603426456451416,1
230302,TACNA,JORGE BASADRE,ILABAYA,36,10.468290540907118,1.8765379190444946,15.126791954040527,3.6919374338546986,4.966087341308594,14.671442985534668,0
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,2,12.71961784362793,12.643214225769043,12.796021461486816,0.07640361785888672,12.65849494934082,12.780740737915039,0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,24,15.295089721679688,13.232575416564941,17.411779403686523,1.5003952469755166,13.299878120422363,17.30046844482422,0
230202,TACNA,CANDARAVE,CAIRANI,8,-0.04420733451843262,-5.498301029205322,6.6967926025390625,3.7809641279740394,-3.9580342769622803,4.798494338989258,1
230406,TACNA,TARATA,SUSAPAYA,11,-5.057249589399858,-8.782925605773926,2.722630739212036,3.3799652655074537,-8.49563217163086,-0.7737599015235901,1
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,4,16.470115661621094,15.926895141601562,17.070680618286133,0.4796051062001759,15.972537994384766,16.990631103515625,0
230203,TACNA,CANDARAVE,CAMILACA,14,-2.060214042663574,-5.643286228179932,3.149968147277832,2.846036745073993,-5.28725004196167,1.9947271347045898,1
040705,AREQUIPA,ISLAY,MEJIA,4,15.321359634399414,13.951273918151855,16.623653411865234,0.9454804292989669,14.368608474731445,16.246994018554688,0
210502,PUNO,EL COLLAO,CAPAZO,37,-5.241691795555321,-7.490872859954834,-3.204629898071289,1.046237853891723,-6.473969459533691,-3.8835837841033936,1
230201,TACNA,CANDARAVE,CANDARAVE,46,-4.202588288680367,-8.273414611816406,6.974405288696289,3.6657816236210303,-6.802698135375977,1.5447320938110352,1
040704,AREQUIPA,ISLAY,ISLAY,11,14.811065673828125,12.813190460205078,16.45585060119629,1.0790229186223135,13.69366455078125,16.39763069152832,0
180106,MOQUEGUA,MARISCAL NIETO,TORATA,61,3.6448221675685195,-5.680854797363281,13.261874198913574,5.562440423915349,-4.08494234085083,10.624095916748047,0
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,136,12.562023387235755,4.601619720458984,15.288010597229004,1.6426277540668481,10.859781265258789,14.033504486083984,0
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,3,3.399110794067383,-1.9468127489089966,8.227837562561035,4.169851850244441,-0.7741886377334595,7.3655314445495605,0
210405,PUNO,CHUCUITO,PISACOMA,33,-3.4189818411162407,-5.608085632324219,-0.8295196890830994,1.4146513611417688,-4.88680362701416,-1.4255212545394897,1
040702,AREQUIPA,ISLAY,COCACHACRA,55,13.981268865411932,10.893902778625488,17.502649307250977,1.4925456542441797,12.361932754516602,16.150592803955078,0
040701,AREQUIPA,ISLAY,MOLLENDO,30,13.233286539713541,12.033978462219238,16.394540786743164,1.219294743702923,12.264774322509766,15.11303997039795,0
180205,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,25,10.929078369140624,7.8950629234313965,13.940906524658203,1.7753142760342278,8.73396110534668,13.141886711120605,0
040201,AREQUIPA,CAMANA,CAMANA,1,17.838457107543945,17.838457107543945,17.838457107543945,0.0,17.838457107543945,17.838457107543945,0
180209,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,8,4.969345569610596,-3.974090814590454,12.850723266601562,5.62072813694677,-2.2466084957122803,11.902032852172852,0
